number,name,status
8002,Open Source Governance Survey,Final
790,Python 3.15 Release Schedule,Active
630,Isolating Extension Modules,Informational
619,Python 3.10 Release Schedule,Active
664,Python 3.11 Release Schedule,Active
659,Specializing Adaptive Interpreter,Final
635,Structural Pattern Matching: Motivation and Rationale,Final
457,Notation For Positional-Only Parameters,Informational
452,API for Cryptographic Hash Functions v2.0,Final
588,GitHub Issues Migration Plan,Final
636,Structural Pattern Matching: Tutorial,Informational
482,Literature Overview for Type Hints,Informational
483,The Theory of Type Hints,Informational
579,Refactoring C functions and methods,Informational
607,Reducing CPython’s Feature Delivery Latency,Informational
430,Migrating to Python 3 as the default online documentation,Informational
394,The “python” Command on Unix-Like Systems,Active
434,IDLE Enhancement Exception for All Branches,Informational
290,Code Migration and Modernization,Active
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
514,Python registration in the Windows registry,Informational
333,Python Web Server Gateway Interface v1.0,Informational
257,Docstring Conventions,Informational
287,reStructuredText Docstring Format,Informational
248,Python Database API Specification v1.0,Informational
249,Python Database API Specification v2.0,Informational
101,Doing Python Releases 101,Active
20,The Zen of Python,Active
247,API for Cryptographic Hash Functions,Final
761,Deprecating PGP signatures for CPython artifacts,Active
732,The Python Documentation Editorial Board,Active
772,Packaging Council governance process,Process
272,API for Block Encryption Algorithms v1.0,Final
811,Defining Python Security Response Team membership and responsibilities,Active
10,Voting Guidelines,Active
11,CPython platform support,Active
13,Python Language Governance,Active
545,Python Documentation Translations,Active
387,Backwards Compatibility Policy,Process
8,Style Guide for Python Code,Active
12,Sample reStructuredText PEP Template,Active
7,Style Guide for C Code,Active
676,PEP Infrastructure Process,Process
731,C API Working Group Charter,Process
609,Python Packaging Authority (PyPA) Governance,Active
602,Annual Release Cycle for Python,Active
2,Procedure for Adding New Modules,Active
729,Typing governance process,Process
4,Deprecation of Standard Modules,Active
1,PEP Purpose and Guidelines,Active
