number,name,status
211,Adding A New Outer Product Operator,Rejected
215,String Interpolation,Superseded
220,"Coroutines, Generators, Continuations",Rejected
239,Adding a Rational Type to Python,Rejected
225,Elementwise/Objectwise Operators,Rejected
212,Loop Counter Iteration,Rejected
209,Multi-dimensional Arrays,Withdrawn
3,Guidelines for Handling Bug Reports,Withdrawn
42,Feature Requests,Withdrawn
9,Sample Plaintext PEP Template,Withdrawn
787,Safer subprocess usage using t-strings,Standards Track
3143,Standard daemon process library,Deferred
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Standards Track
3150,Statement local namespaces (aka “given” clause),Deferred
102,Doing Python Micro Releases,Superseded
204,Range Literals,Rejected
206,Python Advanced Library,Withdrawn
103,Collecting information about git,Withdrawn
210,Decoupling the Interpreter Loop,Rejected
547,Running extension modules using the -m option,Deferred
568,Generator-sensitivity for Context Variables,Deferred
674,Disallow using macros as l-values,Deferred
535,Rich comparison chaining,Deferred
774,Removing the LLVM requirement for JIT builds,Standards Track
778,Supporting Symlinks in Wheels,Standards Track
556,Threaded garbage collection,Deferred
533,Deterministic cleanup for iterators,Standards Track
505,None-aware operators,Deferred
532,A circuit breaking protocol and binary operators,Deferred
499,python -m foo should also bind 'foo' in sys.modules,Standards Track
491,The Wheel Binary Package Format 1.9,Standards Track
447,Add __getdescriptor__ method to metaclass,Deferred
444,Python Web3 Interface,Informational
423,Naming conventions and recipes related to packaging,Informational
323,Copyable Iterators,Deferred
407,New release cycle and introducing long-term support versions,Deferred
316,Programming by Contract for Python,Deferred
419,Protecting cleanup statements from interruptions,Deferred
403,General purpose decorator clause (aka “@in” clause),Deferred
400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
337,Logging Usage in the Standard Library,Deferred
368,Standard image protocol and class,Deferred
312,Simple Implicit Lambda,Deferred
267,Optimized Access to Module Namespaces,Deferred
286,Enhanced Argument Tuples,Deferred
269,Pgen Module for Python,Deferred
219,Stackless Python,Deferred
280,Optimizing access to globals,Deferred
233,Python Online Help,Deferred
222,Web Library Enhancements,Deferred
3003,Python Language Moratorium,Final
3099,Things that will Not Change in Python 3000,Final
3002,Procedure for Backwards-Incompatible Changes,Final
596,Python 3.9 Release Schedule,Informational
3100,Miscellaneous Python 3.0 Plans,Final
213,Attribute Access Handlers,Deferred
8001,Python Governance Voting Process,Final
3000,Python 3000,Final
537,Python 3.7 Release Schedule,Final
569,Python 3.8 Release Schedule,Final
541,Package Index Name Retention,Final
512,Migrating from hg.python.org to GitHub,Process
478,Python 3.5 Release Schedule,Final
494,Python 3.6 Release Schedule,Final
470,Removing External Hosting Support on PyPI,Final
581,Using GitHub Issues for CPython,Final
398,Python 3.3 Release Schedule,Final
347,Migrating the Python CVS to Subversion,Process
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
438,Transitioning to release-file hosting on PyPI,Superseded
361,Python 2.6 and 3.0 Release Schedule,Final
392,Python 3.2 Release Schedule,Final
429,Python 3.4 Release Schedule,Final
464,Removal of the PyPI Mirror Authenticity API,Final
404,Python 2.8 Un-release Schedule,Final
385,Migrating from Subversion to Mercurial,Final
375,Python 3.1 Release Schedule,Final
374,Choosing a distributed VCS for the Python project,Final
226,Python 2.1 Release Schedule,Final
373,Python 2.7 Release Schedule,Final
360,Externally Maintained Packages,Final
356,Python 2.5 Release Schedule,Final
251,Python 2.2 Release Schedule,Final
6,Bug Fix Releases,Superseded
160,Python 1.6 Release Schedule,Final
283,Python 2.3 Release Schedule,Final
200,Python 2.0 Release Schedule,Final
3151,Reworking the OS and IO exception hierarchy,Standards Track
320,Python 2.4 Release Schedule,Final
3155,Qualified name for classes and functions,Final
5,Guidelines for Language Evolution,Superseded
3154,Pickle protocol version 4,Final
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3141,A Type Hierarchy for Numbers,Final
3138,String representation in Python 3000,Final
3149,ABI version tagged .so files,Final
3135,New Super,Final
3144,IP Address Manipulation Library for the Python Standard Library,Final
3148,futures - execute computations asynchronously,Final
3147,PYC Repository Directories,Final
3129,Class Decorators,Final
3131,Supporting Non-ASCII Identifiers,Final
3137,Immutable Bytes and Mutable Buffer,Final
3127,Integer Literal Support and Syntax,Standards Track
3132,Extended Iterable Unpacking,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3123,Making PyObject_HEAD conform to standard C,Final
3110,Catching Exceptions in Python 3000,Final
3121,Extension Module Initialization and Finalization,Final
3120,Using UTF-8 as the default source encoding,Final
3118,Revising the buffer protocol,Final
3115,Metaclasses in Python 3000,Final
3119,Introducing Abstract Base Classes,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3116,New I/O,Final
3109,Raising Exceptions in Python 3000,Final
3111,Simple input built-in in Python 3000,Final
3113,Removal of Tuple Parameter Unpacking,Final
3108,Standard Library Reorganization,Final
3112,Bytes literals in Python 3000,Final
3107,Function Annotations,Final
3105,Make print a function,Final
800,Disjoint bases in the type system,Standards Track
831,Frame Pointers Everywhere: Enabling System-Level Observability for Python,Standards Track
815,Deprecate RECORD.jws and RECORD.p7s,Standards Track
814,Add frozendict built-in type,Standards Track
3102,Keyword-Only Arguments,Final
3104,Access to Names in Outer Scopes,Final
798,Unpacking in Comprehensions,Final
829,Package Startup Configuration Files,Standards Track
3106,"Revamping dict.keys(), .values() and .items()",Final
3101,Advanced String Formatting,Final
773,A Python Installation Manager for Windows,Standards Track
782,Add PyBytesWriter C API,Standards Track
784,Adding Zstandard to the standard library,Final
779,Criteria for supported status for free-threaded Python,Standards Track
791,math.integer — submodule for integer-specific mathematics functions,Final
792,Project status markers in the simple index,Standards Track
788,Protecting the C API from Interpreter Finalization,Final
757,C API to import-export Python integers,Standards Track
768,Safe external debugger interface for CPython,Standards Track
770,Improving measurability of Python packages with Software Bill-of-Materials,Standards Track
753,Uniform project URLs in core metadata,Standards Track
765,Disallow return/break/continue that exit a finally block,Standards Track
758,Allow except and except* expressions without parentheses,Final
751,A file format to record Python dependencies for installation reproducibility,Final
737,C API to format a type fully qualified name,Standards Track
735,Dependency Groups in pyproject.toml,Standards Track
740,Index support for digital attestations,Standards Track
738,Adding Android as a supported platform,Final
741,Python Configuration C API,Standards Track
742,Narrowing types with TypeIs,Standards Track
750,Template Strings,Standards Track
709,Inlined comprehensions,Final
749,Implementing PEP 649,Standards Track
747,Annotating Type Forms,Final
734,Multiple Interpreters in the Stdlib,Standards Track
715,Disabling bdist_egg distribution uploads on PyPI,Standards Track
730,Adding iOS as a supported platform,Final
728,TypedDict with Typed Extra Items,Final
721,Using tarfile.data_filter for source distribution extraction,Standards Track
723,Inline script metadata,Standards Track
705,TypedDict: Read-only items,Final
699,Remove private dict version field added in PEP 509,Standards Track
700,Additional Fields for the Simple API for Package Indexes,Final
701,Syntactic formalization of f-strings,Standards Track
698,Override Decorator for Static Typing,Final
702,Marking deprecations using the type system,Standards Track
703,Making the Global Interpreter Lock Optional in CPython,Final
697,Limited C API for Extending Opaque Types,Standards Track
706,Filter for tarfile.extractall,Standards Track
682,Format Specifier for Signed Zero,Standards Track
689,Unstable C API tier,Standards Track
687,Isolating modules in the standard library,Standards Track
688,Making the buffer protocol accessible in Python,Standards Track
696,Type Defaults for Type Parameters,Final
692,Using TypedDict for more precise **kwargs typing,Final
691,JSON-based Simple API for Python Package Indexes,Final
695,Type Parameter Syntax,Final
685,Comparison of extra names for optional distribution dependencies,Final
683,"Immortal Objects, Using a Fixed Refcount",Standards Track
684,A Per-Interpreter GIL,Standards Track
686,Make UTF-8 mode default,Standards Track
661,Sentinel Values,Standards Track
669,Low Impact Monitoring for CPython,Standards Track
660,Editable installs for pyproject.toml based builds (wheel based),Final
667,Consistent views of namespaces,Standards Track
673,Self Type,Final
675,Arbitrary Literal String Type,Final
668,Marking Python base environments as “externally managed”,Final
670,Convert macros to functions in the Python C API,Final
680,tomllib: Support for Parsing TOML in the Standard Library,Final
681,Data Class Transforms,Final
678,Enriching Exceptions with Notes,Final
656,Platform Tag for Linux Distributions Using Musl,Standards Track
628,Add math.tau,Final
652,Maintaining the Stable ABI,Standards Track
647,User-Defined Type Guards,Final
655,Marking individual TypedDict items as required or potentially-missing,Final
657,Include Fine Grained Error Locations in Tracebacks,Standards Track
649,Deferred Evaluation Of Annotations Using Descriptors,Standards Track
654,Exception Groups and except*,Standards Track
646,Variadic Generics,Standards Track
644,Require OpenSSL 1.1.1 or newer,Standards Track
629,Versioning PyPI’s Simple API,Final
627,Recording installed projects,Final
632,Deprecate distutils module,Standards Track
625,Filename of a Source Distribution,Final
634,Structural Pattern Matching: Specification,Final
643,Metadata for Package Source Distributions,Final
639,Improving License Clarity with Better Package Metadata,Final
624,Remove Py_UNICODE encoder APIs,Final
623,Remove wstr from Unicode,Final
616,String methods to remove prefixes and suffixes,Standards Track
621,Storing project metadata in pyproject.toml,Standards Track
626,Precise line numbers for debugging and other tools.,Standards Track
618,Add Optional Length-Checking To zip,Final
617,New PEG parser for CPython,Standards Track
615,Support for the IANA Time Zone Database in the Standard Library,Standards Track
614,Relaxing Grammar Restrictions On Decorators,Standards Track
613,Explicit Type Aliases,Final
612,Parameter Specification Variables,Standards Track
610,Recording the Direct URL Origin of installed distributions,Standards Track
592,Adding “Yank” Support to the Simple API,Final
597,Add optional EncodingWarning,Final
604,Allow writing union types as X,Standards Track
594,Removing dead batteries from the standard library,Standards Track
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Standards Track
593,Flexible function and variable annotations,Final
584,Add Union Operators To dict,Standards Track
585,Type Hinting Generics In Standard Collections,Standards Track
590,Vectorcall: a fast calling protocol for CPython,Standards Track
586,Literal Types,Final
587,Python Initialization Configuration,Final
591,Adding a final qualifier to typing,Final
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Standards Track
573,Module State Access from C Extension Methods,Final
572,Assignment Expressions,Final
574,Pickle protocol 5 with out-of-band data,Standards Track
578,Python Runtime Audit Hooks,Standards Track
567,Context Variables,Final
566,Metadata for Python Software Packages 2.1,Final
562,Module __getattr__ and __dir__,Final
564,Add new time functions with nanosecond resolution,Final
561,Distributing and Packaging Type Information,Final
570,Python Positional-Only Parameters,Final
565,Show DeprecationWarning in __main__,Final
540,Add a new UTF-8 Mode,Standards Track
544,Protocols: Structural subtyping (static duck typing),Final
560,Core support for typing module and generic types,Final
523,Adding a frame evaluation API to CPython,Final
552,Deterministic pycs,Final
553,Built-in breakpoint(),Final
530,Asynchronous Comprehensions,Standards Track
557,Data Classes,Final
527,Removing Un(der)used file types/extensions on PyPI,Final
539,A New C-API for Thread-Local Storage in CPython,Standards Track
538,Coercing the legacy C locale to a UTF-8 based locale,Standards Track
528,Change Windows console encoding to UTF-8,Final
524,Make os.urandom() blocking on Linux,Final
520,Preserving Class Attribute Definition Order,Final
529,Change Windows filesystem encoding to UTF-8,Final
526,Syntax for Variable Annotations,Final
525,Asynchronous Generators,Standards Track
508,Dependency specification for Python Software Packages,Final
495,Local Time Disambiguation,Standards Track
506,Adding A Secrets Module To The Standard Library,Final
498,Literal String Interpolation,Final
519,Adding a file system path protocol,Final
517,A build-system independent format for source trees,Final
503,Simple Repository API,Final
515,Underscores in Numeric Literals,Final
493,HTTPS verification migration tools for Python 2.7,Standards Track
518,Specifying Minimum Build System Requirements for Python Projects,Final
492,Coroutines with async and await syntax,Standards Track
487,Simpler customisation of class creation,Final
476,Enabling certificate verification by default for stdlib http clients,Final
488,Elimination of PYO files,Final
489,Multi-phase extension module initialization,Final
479,Change StopIteration handling inside generators,Final
485,A Function for testing approximate equality,Final
484,Type Hints,Final
477,Backport ensurepip (PEP 453) to Python 2.7,Standards Track
486,Make the Python Launcher aware of virtual environments,Final
475,Retry system calls failing with EINTR,Standards Track
468,Preserving the order of **kwargs in a function.,Standards Track
466,Network Security Enhancements for Python 2.7.x,Final
465,A dedicated infix operator for matrix multiplication,Final
461,Adding % formatting to bytes and bytearray,Final
471,os.scandir() function – a better and faster directory iterator,Standards Track
456,Secure and interchangeable hash algorithm,Standards Track
454,Add a new tracemalloc module to trace Python memory allocations,Standards Track
453,Explicit bootstrapping of pip in Python installations,Standards Track
448,Additional Unpacking Generalizations,Standards Track
451,A ModuleSpec Type for the Import System,Final
443,Single-dispatch generic functions,Standards Track
442,Safe object finalization,Standards Track
445,Add new APIs to customize Python memory allocators,Standards Track
446,Make newly created file descriptors non-inheritable,Final
450,Adding A Statistics Module To The Standard Library,Final
440,Version Identification and Dependency Specification,Final
436,The Argument Clinic DSL,Standards Track
427,The Wheel Binary Package Format 1.0,Final
441,Improving Python ZIP Application Support,Standards Track
424,A method for exposing a length hint,Final
428,The pathlib module – object-oriented filesystem paths,Final
435,Adding an Enum type to the Python standard library,Final
425,Compatibility Tags for Built Distributions,Standards Track
421,Adding sys.implementation,Standards Track
418,"Add monotonic time, performance counter, and process time functions",Final
409,Suppressing exception context,Final
405,Python Virtual Environments,Standards Track
417,Including mock in the Standard Library,Final
412,Key-Sharing Dictionary,Final
414,Explicit Unicode Literal for Python 3.3,Final
397,Python launcher for Windows,Final
420,Implicit Namespace Packages,Final
415,Implement context suppression with exception attributes,Standards Track
343,The “with” Statement,Final
341,Unifying try-except and try-finally,Final
393,Flexible String Representation,Final
338,Executing modules as scripts,Final
311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
318,Decorators for Functions and Methods,Final
309,Partial Function Application,Final
331,Locale-Independent Float/String Conversions,Final
342,Coroutines via Enhanced Generators,Final
328,Imports: Multi-Line and Absolute/Relative,Final
327,Decimal Data Type,Final
322,Reverse Iteration,Final
324,subprocess - New process module,Final
308,Conditional Expressions,Final
307,Extensions to the pickle protocol,Final
292,Simpler String Substitutions,Final
293,Codec Error Handling Callbacks,Final
305,CSV File API,Standards Track
302,New Import Hooks,Final
301,Package Index and Metadata for Distutils,Final
285,Adding a bool type,Final
289,Generator Expressions,Final
282,A Logging System,Final
278,Universal Newline Support,Final
279,The enumerate() built-in function,Final
273,Import Modules from Zip Archives,Final
236,Back to the __future__,Final
263,Defining Python Source Code Encodings,Final
264,Future statements in simulated shells,Final
252,Making Types Look More Like Classes,Final
260,Simplify xrange(),Final
274,Dict Comprehensions,Final
261,Support for “wide” Unicode characters,Final
277,Unicode file name support for Windows NT,Final
250,Using site-packages on Windows,Final
253,Subtyping Built-in Types,Final
237,Unifying Long Integers and Integers,Final
218,Adding a Built-In Set Object Type,Final
234,Iterators,Final
238,Changing the Division Operator,Final
255,Simple Generators,Final
230,Warning Framework,Final
221,Import As,Final
229,Using Distutils to Build Python,Final
232,Function Attributes,Final
227,Statically Nested Scopes,Final
223,Change the Meaning of \x Escapes,Final
235,Import on Case-Insensitive Platforms,Final
208,Reworking the Coercion Model,Final
217,Display Hook for Interactive Use,Final
207,Rich Comparisons,Final
201,Lockstep Iteration,Final
214,Extended Print Statement,Final
203,Augmented Assignments,Final
202,List Comprehensions,Final
205,Weak References,Final
822,Dedented Multiline String (d-string),Standards Track
100,Python Unicode Integration,Final
835,Shorthand syntax for Annotated type metadata,Draft
828,Supporting ‘yield from’ in asynchronous generators,Draft
832,Virtual environment discovery,Standards Track
825,Wheel Variants: Package Format,Draft
830,Add timestamps to exceptions and tracebacks,Standards Track
827,Type Manipulation,Standards Track
807,Index support for Trusted Publishing,Standards Track
821,Support for unpacking TypedDicts in Callable type hints,Draft
813,The Pretty Print Protocol,Standards Track
804,An external dependency registry and name mapping mechanism,Standards Track
819,JSON Package Metadata,Draft
809,Stable ABI for the Future,Standards Track
818,Adding the Core of the Pyodide Foreign Function Interface to Python,Draft
817,Wheel Variants: Beyond Platform Tags,Standards Track
780,ABI features as environment markers,Draft
802,Display Syntax for the Empty Set,Standards Track
781,Make TYPE_CHECKING a built-in constant,Standards Track
797,Shared Object Proxies,Standards Track
785,New methods for easier handling of ExceptionGroups,Draft
777,How to Re-invent the Wheel,Standards Track
789,Preventing task-cancellation bugs by limiting yield in async generators,Draft
786,Precision and modulo-precision flag format specifiers for integer fields,Draft
748,A Unified TLS API for Python,Draft
746,Type checking Annotated metadata,Draft
752,Implicit namespaces for package repositories,Standards Track
755,Implicit namespace policy for PyPI,Process
766,Explicit Priority Choices Among Multiple Indexes,Informational
767,Annotating Read-Only Attributes,Draft
771,Default Extras for Python Software Packages,Draft
764,Inline typed dictionaries,Draft
744,JIT Compilation,Informational
603,Adding a frozenmap type to collections,Standards Track
480,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
710,Recording the provenance of installed packages,Standards Track
711,PyBI: a standard format for distributing Python Binaries,Draft
718,Subscriptable functions,Draft
725,Specifying external dependencies in pyproject.toml,Standards Track
720,Cross-compiling Python packages,Informational
833,Freezing the HTML simple repository API,Standards Track
638,Syntactic Macros,Standards Track
820,PySlot: Unified slot system for the C API,Standards Track
653,Precise Semantics for Pattern Matching,Draft
694,Upload 2.0 API for Python Package Indexes,Draft
671,Syntax for late-bound function argument defaults,Standards Track
810,Explicit lazy imports,Standards Track
467,Minor API improvements for binary sequences,Standards Track
799,A dedicated profiling package for organizing Python profiling tools,Standards Track
803,“abi3t”: Stable ABI for Free-Threaded Builds,Standards Track
8107,2026 Term Steering Council election,Informational
714,Rename dist-info-metadata in the Simple API,Accepted
808,Including static values in dynamic metadata,Standards Track
783,Emscripten Packaging,Accepted
793,PyModExport: A new entry point for C extension modules,Standards Track
458,Secure PyPI downloads with signed repository metadata,Standards Track
794,Import Name Metadata,Standards Track
739,build-details.json 1.0 — a static description file for Python build details,Accepted
658,Serve Distribution Metadata in the Simple Repository API,Standards Track
8103,2022 Term Steering Council election,Informational
8104,2023 Term Steering Council election,Informational
8105,2024 Term Steering Council election,Informational
8106,2025 Term Steering Council election,Informational
790,Python 3.15 Release Schedule,Active
8016,The Steering Council Model,Accepted
8000,Python Language Governance Proposal Overview,Final
8002,Open Source Governance Survey,Final
8101,2020 Term Steering Council election,Informational
8100,January 2019 Steering Council election,Final
3333,Python Web Server Gateway Interface v1.0.1,Informational
8102,2021 Term Steering Council election,Informational
745,Python 3.14 Release Schedule,Active
826,Python 3.16 Release Schedule,Active
816,WASI Support,Informational
762,REPL-acing the default REPL,Informational
776,Emscripten Support,Active
733,An Evaluation of Python’s Public C API,Final
801,Reserved,Active
664,Python 3.11 Release Schedule,Active
